codec,corpus,direction,level,block,ratio,throughput_MBps,p50_us,p99_us,p999_us,cpu_frac,cores_freed
sw-zstd,ingress-2-12575b.bin,compress,9,131072,0.3096,31.3,401.18,409.99,410.00,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,9,131072,0.3096,875.2,14.35,15.12,15.18,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,9,0,0.3096,31.4,400.47,409.06,411.51,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,9,0,0.3096,874.9,14.36,15.10,15.21,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,1,8192,0.1144,394.7,20.77,21.73,21.83,1.001,0.000
sw-zstd,egress-6-280108b.bin,decompress,1,8192,0.1144,1113.2,7.32,7.77,9.44,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,1,16384,0.1206,560.5,29.14,30.72,33.11,1.001,0.000
sw-zstd,egress-6-280108b.bin,decompress,1,16384,0.1206,1070.0,15.24,18.76,19.38,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,1,32768,0.1236,555.1,58.86,63.49,63.55,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,1,32768,0.1236,1058.6,30.91,31.76,31.78,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,1,65536,0.1253,565.2,115.68,119.71,120.65,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,1,65536,0.1253,1092.8,59.85,62.71,63.08,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,1,131072,0.1309,546.7,239.49,244.60,246.87,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,1,131072,0.1309,990.3,132.16,134.49,134.63,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,1,0,0.2340,711.7,392.70,405.17,405.94,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,1,0,0.2340,1239.6,225.87,228.15,228.16,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,3,8192,0.1144,392.8,20.82,21.95,25.16,1.001,0.000
